Technique,Acc,Recall,Prec,F1,AUC,PR-AUC,MCC,TrainErr,TestErr,Gap,family
convnext_tiny:svm+KMeansSMOTE·emb,0.8987,0.9737,0.8409,0.9024,0.9923,0.9934,0.8076,0.0219,0.1013,-0.0794,embed/convnext_tiny
convnext_tiny:svm+SMOTE·emb,0.8987,0.9737,0.8409,0.9024,0.9917,0.993,0.8076,0.0164,0.1013,-0.0849,embed/convnext_tiny
convnext_tiny:svm+SMOTETomek·emb,0.8987,0.9737,0.8409,0.9024,0.9917,0.993,0.8076,0.0192,0.1013,-0.0821,embed/convnext_tiny
convnext_tiny:svm+RandomUnder·emb,0.8987,0.9737,0.8409,0.9024,0.991,0.992,0.8076,0.0219,0.1013,-0.0794,embed/convnext_tiny
convnext_tiny:svm+none·emb,0.8987,0.9737,0.8409,0.9024,0.9904,0.9915,0.8076,0.0219,0.1013,-0.0794,embed/convnext_tiny
convnext_tiny:svm+RandomOver·emb,0.8987,0.9737,0.8409,0.9024,0.9904,0.9915,0.8076,0.0274,0.1013,-0.0739,embed/convnext_tiny
convnext_tiny:svm+class_weight·emb,0.8987,0.9737,0.8409,0.9024,0.9904,0.9915,0.8076,0.0192,0.1013,-0.0821,embed/convnext_tiny
convnext_tiny:svm+BorderlineSMOTE·emb,0.8987,0.9737,0.8409,0.9024,0.9904,0.9912,0.8076,0.0247,0.1013,-0.0766,embed/convnext_tiny
convnext_tiny:svm+SVMSMOTE·emb,0.8354,0.9737,0.7551,0.8506,0.9891,0.99,0.7011,0.0164,0.1646,-0.1482,embed/convnext_tiny
convnext_tiny:strong_reg,0.9494,0.9211,0.9722,0.9459,0.9891,0.9893,0.8996,0.0027,0.0506,-0.0479,deep/convnext_tiny
convnext_tiny:random_under,0.9241,0.9474,0.9,0.9231,0.9878,0.9877,0.8493,0.0055,0.0759,-0.0704,deep/convnext_tiny
convnext_tiny:linear_then_finetune,0.8481,0.9737,0.7708,0.8605,0.9833,0.9871,0.7218,0.0712,0.1519,-0.0807,deep/convnext_tiny
convnext_tiny:weighted_ce,0.9241,0.9211,0.9211,0.9211,0.9865,0.9865,0.8479,0.011,0.0759,-0.0649,deep/convnext_tiny
convnext_tiny:focal,0.9367,0.8947,0.9714,0.9315,0.9859,0.9865,0.8754,0.0027,0.0633,-0.0606,deep/convnext_tiny
convnext_tiny:class_balanced,0.9241,0.9211,0.9211,0.9211,0.9865,0.9865,0.8479,0.011,0.0759,-0.0649,deep/convnext_tiny
convnext_tiny:baseline,0.9241,0.8947,0.9444,0.9189,0.9852,0.9861,0.8487,0.0082,0.0759,-0.0677,deep/convnext_tiny
convnext_tiny:logreg+RandomUnder·emb,0.9367,0.9474,0.9231,0.9351,0.9833,0.986,0.8736,0.0,0.0633,-0.0633,embed/convnext_tiny
convnext_tiny:logreg+BorderlineSMOTE·emb,0.962,0.9474,0.973,0.96,0.982,0.9856,0.9242,0.0,0.038,-0.038,embed/convnext_tiny
convnext_tiny:random_over,0.9114,0.8947,0.9189,0.9067,0.9846,0.9853,0.8226,0.0301,0.0886,-0.0585,deep/convnext_tiny
convnext_tiny:logreg+RandomOver·emb,0.9367,0.9474,0.9231,0.9351,0.982,0.9853,0.8736,0.0,0.0633,-0.0633,embed/convnext_tiny
resnet50:focal,0.8987,0.9474,0.8571,0.9,0.9833,0.9852,0.8021,0.0027,0.1013,-0.0986,deep/resnet50
convnext_tiny:logreg+none·emb,0.9367,0.9474,0.9231,0.9351,0.9814,0.9849,0.8736,0.0,0.0633,-0.0633,embed/convnext_tiny
convnext_tiny:logreg+SMOTE·emb,0.9494,0.9474,0.9474,0.9474,0.9814,0.9849,0.8986,0.0,0.0506,-0.0506,embed/convnext_tiny
convnext_tiny:logreg+SVMSMOTE·emb,0.9367,0.9474,0.9231,0.9351,0.9814,0.9849,0.8736,0.0,0.0633,-0.0633,embed/convnext_tiny
convnext_tiny:logreg+class_weight·emb,0.9367,0.9474,0.9231,0.9351,0.9814,0.9849,0.8736,0.0,0.0633,-0.0633,embed/convnext_tiny
convnext_tiny:logreg+KMeansSMOTE·emb,0.9367,0.9474,0.9231,0.9351,0.9814,0.9847,0.8736,0.0,0.0633,-0.0633,embed/convnext_tiny
convnext_tiny:cutmix,0.8987,0.9474,0.8571,0.9,0.9833,0.9845,0.8021,0.0027,0.1013,-0.0986,deep/convnext_tiny
convnext_tiny:mixup,0.9241,0.9211,0.9211,0.9211,0.982,0.9844,0.8479,0.0,0.0759,-0.0759,deep/convnext_tiny
convnext_tiny:linear_probe,0.8354,0.9737,0.7551,0.8506,0.9807,0.9838,0.7011,0.1041,0.1646,-0.0605,deep/convnext_tiny
resnet50:strong_reg,0.9114,0.9474,0.878,0.9114,0.9788,0.9837,0.8254,0.0137,0.0886,-0.0749,deep/resnet50
resnet50:class_balanced,0.8861,0.9474,0.8372,0.8889,0.9807,0.9834,0.7791,0.0082,0.1139,-0.1057,deep/resnet50
resnet50:sampler+focal,0.9241,0.9211,0.9211,0.9211,0.9795,0.9831,0.8479,0.0082,0.0759,-0.0677,deep/resnet50
resnet50:svm+RandomOver·emb,0.8987,0.9474,0.8571,0.9,0.982,0.9829,0.8021,0.0137,0.1013,-0.0876,embed/resnet50
resnet50:svm+RandomUnder·emb,0.8987,0.9474,0.8571,0.9,0.9814,0.9827,0.8021,0.0219,0.1013,-0.0794,embed/resnet50
convnext_tiny:logreg+SMOTETomek·emb,0.8608,0.9737,0.7872,0.8706,0.9801,0.9826,0.7428,0.0082,0.1392,-0.131,embed/convnext_tiny
convnext_tiny:weighted_sampler,0.9241,0.9211,0.9211,0.9211,0.9801,0.9821,0.8479,0.0,0.0759,-0.0759,deep/convnext_tiny
resnet50:svm+SMOTETomek·emb,0.9114,0.9737,0.8605,0.9136,0.9807,0.9818,0.83,0.0192,0.0886,-0.0694,embed/resnet50
resnet50:svm+BorderlineSMOTE·emb,0.8861,0.9737,0.8222,0.8916,0.982,0.9815,0.7857,0.011,0.1139,-0.1029,embed/resnet50
convnext_tiny:sampler+focal,0.9114,0.9211,0.8974,0.9091,0.9807,0.9809,0.823,0.0055,0.0886,-0.0831,deep/convnext_tiny
resnet50:svm+none·emb,0.8987,0.9474,0.8571,0.9,0.9801,0.9808,0.8021,0.0137,0.1013,-0.0876,embed/resnet50
resnet50:svm+class_weight·emb,0.8987,0.9474,0.8571,0.9,0.9801,0.9807,0.8021,0.0137,0.1013,-0.0876,embed/resnet50
resnet18:strong_reg,0.8734,0.9211,0.8333,0.875,0.975,0.9801,0.7513,0.0,0.1266,-0.1266,deep/resnet18
resnet50:baseline,0.8987,0.9211,0.875,0.8974,0.9782,0.9799,0.7986,0.0055,0.1013,-0.0958,deep/resnet50
resnet50:logreg+RandomUnder·emb,0.8987,0.9211,0.875,0.8974,0.9782,0.9794,0.7986,0.0,0.1013,-0.1013,embed/resnet50
resnet50:svm+SMOTE·emb,0.9114,0.9737,0.8605,0.9136,0.9788,0.9794,0.83,0.0164,0.0886,-0.0722,embed/resnet50
resnet50:mixup,0.8734,0.8947,0.85,0.8718,0.9788,0.9789,0.7479,0.0274,0.1266,-0.0992,deep/resnet50
resnet50:weighted_sampler,0.8861,0.9474,0.8372,0.8889,0.9666,0.978,0.7791,0.0027,0.1139,-0.1112,deep/resnet50
resnet50:logreg+SMOTE·emb,0.8861,0.9211,0.8537,0.8861,0.9756,0.9773,0.7747,0.0,0.1139,-0.1139,embed/resnet50
resnet50:logreg+BorderlineSMOTE·emb,0.8861,0.9211,0.8537,0.8861,0.975,0.9767,0.7747,0.0,0.1139,-0.1139,embed/resnet50
resnet50:logreg+KMeansSMOTE·emb,0.8734,0.9211,0.8333,0.875,0.975,0.9764,0.7513,0.0,0.1266,-0.1266,embed/resnet50
resnet50:logreg+RandomOver·emb,0.8987,0.8947,0.8947,0.8947,0.975,0.9763,0.7972,0.0,0.1013,-0.1013,embed/resnet50
resnet50:logreg+none·emb,0.8861,0.9211,0.8537,0.8861,0.9743,0.9761,0.7747,0.0,0.1139,-0.1139,embed/resnet50
resnet50:logreg+class_weight·emb,0.8861,0.9211,0.8537,0.8861,0.9743,0.9761,0.7747,0.0,0.1139,-0.1139,embed/resnet50
resnet50:svm+KMeansSMOTE·emb,0.8987,0.9474,0.8571,0.9,0.9763,0.9761,0.8021,0.0137,0.1013,-0.0876,embed/resnet50
resnet50:logreg+SVMSMOTE·emb,0.8987,0.9211,0.875,0.8974,0.9743,0.976,0.7986,0.0,0.1013,-0.1013,embed/resnet50
resnet50:logreg+SMOTETomek·emb,0.8608,0.9211,0.814,0.8642,0.9743,0.9758,0.7283,0.0082,0.1392,-0.131,embed/resnet50
resnet18:random_under,0.8608,0.9211,0.814,0.8642,0.9666,0.9754,0.7283,0.0,0.1392,-0.1392,deep/resnet18
resnet50:cutmix,0.8734,0.9211,0.8333,0.875,0.973,0.9742,0.7513,0.0027,0.1266,-0.1239,deep/resnet50
resnet50:weighted_ce,0.9241,0.9211,0.9211,0.9211,0.9653,0.974,0.8479,0.0,0.0759,-0.0759,deep/resnet50
resnet50:random_over,0.9241,0.9474,0.9,0.9231,0.9641,0.973,0.8493,0.0301,0.0759,-0.0458,deep/resnet50
resnet50:linear_then_finetune,0.9114,0.8947,0.9189,0.9067,0.9673,0.9729,0.8226,0.0384,0.0886,-0.0502,deep/resnet50
resnet50:svm+SVMSMOTE·emb,0.8861,0.9737,0.8222,0.8916,0.9743,0.9727,0.7857,0.0137,0.1139,-0.1002,embed/resnet50
resnet18:linear_then_finetune,0.8228,0.9474,0.75,0.8372,0.9679,0.9721,0.6699,0.0274,0.1772,-0.1498,deep/resnet18
resnet18:cutmix,0.9241,0.8947,0.9444,0.9189,0.9596,0.9719,0.8487,0.0137,0.0759,-0.0622,deep/resnet18
resnet18:mixup,0.9241,0.8947,0.9444,0.9189,0.9653,0.9717,0.8487,0.0247,0.0759,-0.0512,deep/resnet18
